Combination,Noise Level,Mean,Std Dev,CV
165,0.99,7.35,16.33791602377733,2.2228456872779265
166,0.99,3.15,13.730531672153123,4.3588988051629345
167,0.99,9.05,24.368986437683454,2.6927056539682748
168,0.99,0.0,0.0,0.0
169,0.99,0.0,0.0,0.0
170,0.99,1.75,7.628073151196179,4.358898694460748
171,0.99,14.0,31.625938721245888,2.258995606810452
172,0.99,5.6,16.989408465276238,3.033822886052491
173,0.99,4.3,12.93483668238606,3.008101484087421
174,0.99,1.45,4.375785643744447,3.0177829944594117
175,0.99,2.7,11.769027147559816,4.358898782099977
176,0.99,1.25,5.448623679425842,4.358898594828786
177,0.99,0.0,0.0,0.0
178,0.99,6.65,16.187263511786046,2.4341749275742184
179,0.99,8.35,21.408584726693167,2.5639023317728067
180,0.99,3.35,11.208367410109288,3.3457812165764675
181,0.99,4.5,19.615045245933032,4.358898846676254
182,0.99,9.3,30.900000000000006,3.3225806094346177
183,0.99,7.15,19.061151591653637,2.665895290218756
184,0.99,4.75,20.7047699818182,4.358898851774382
185,0.99,2.25,5.998958242895178,2.6662035450110326
186,0.99,2.15,7.564885987243958,3.518551458320378
187,0.99,3.4,9.029950165975446,2.655867617761378
188,0.99,0.0,0.0,0.0
189,0.99,18.75,37.27582997063915,1.9880442544978518
190,0.99,5.4,16.794046564184583,3.1100085654043936
191,0.99,4.55,13.672874606314503,3.005027319958631
192,0.99,2.05,7.671212420471749,3.742054656715261
193,0.99,3.95,9.404653103650341,2.3809247760905983
194,0.99,12.45,49.870306796730254,4.0056471000936185
195,0.99,2.3,10.02546757014355,4.358898754023337
196,0.99,0.0,0.0,0.0
197,0.99,2.1,9.153687781435414,4.3588987359740665
198,0.99,7.25,22.001988546492793,3.03475699903684
199,0.99,1.85,8.063963045550244,4.358898707924525
200,0.99,2.15,9.371632728612447,4.358898740801197
201,0.99,3.85,12.947103923271799,3.3628840485671154
202,0.99,5.45,13.872544827824488,2.545421022620621
203,0.99,2.05,6.248799884777876,3.0481949170528706
204,0.99,8.15,27.313503986123784,3.351350141225616
205,0.99,7.25,30.474374480865066,4.203361939383292
206,0.99,9.0,39.230090491866065,4.358898895108465
207,0.99,0.0,0.0,0.0
208,0.99,2.05,8.935742834258383,4.358898730911469
209,0.99,8.35,25.34812616348593,3.035703695798271
210,0.99,3.4,14.820256408038288,4.358898815337767
211,0.99,4.2,18.30737556287083,4.358898839757368
212,0.99,5.15,17.576333519821475,3.4128802288414466
213,0.99,3.2,11.325193155085698,3.5391227503666944
214,0.99,10.55,28.427935204653892,2.69459098911799
215,0.99,13.05,27.906047731629787,2.138394445807689
216,0.99,1.15,5.012733785071775,4.358898564506016
217,0.99,0.85,3.7050641020095725,4.358898430729094
218,0.99,4.9,16.130406070524074,3.2919195390473712
219,0.99,0.0,0.0,0.0
220,0.99,5.9,14.781407240178453,2.5053232185840897
221,0.99,2.8,12.204917041913887,4.3588987878657175
222,0.99,10.4,28.787844657077056,2.768061959641429
223,0.99,4.15,13.499166640944916,3.252811160400915
224,0.99,0.0,0.0,0.0
225,0.99,2.85,9.4195275890036,3.3050972836820605
226,0.99,3.15,10.645538971794712,3.3795360742352716
227,0.99,2.85,9.062422413460983,3.1797972264846526
